bookName,starRating,bookPrice in (EUR),imageLink
Murder at the 42nd Street Library (Raymond Ambler #1),Four,54.36,http://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg
How to Speak Golf: An Illustrated Guide to Links Lingo,Five,58.32,http://books.toscrape.com/media/cache/d2/64/d264ad1af882ce391005dc7215ac90e7.jpg
Equal Is Unfair: America's Misguided Fight Against Income Inequality,One,56.86,http://books.toscrape.com/media/cache/00/11/001153d2a22d889837efac1703e10a5e.jpg
Eleanor & Park,Five,56.51,http://books.toscrape.com/media/cache/ed/d7/edd781d3c9d63a395f80f241445e88fa.jpg
Boar Island (Anna Pigeon #19),Three,59.48,http://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg
The Improbability of Love,One,59.45,http://books.toscrape.com/media/cache/06/49/06493269f6893cfd24b650f66df51882.jpg
Take Me Home Tonight (Rock Star Romance #3),Three,53.98,http://books.toscrape.com/media/cache/a6/4b/a64b3c559f59748bfdbbe75be3e16075.jpg
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Three,56.27,http://books.toscrape.com/media/cache/ee/a9/eea9e831f8964b4dc0190c84a1f9a1f6.jpg
"Exit, Pursued by a Bear",Four,51.34,http://books.toscrape.com/media/cache/ca/99/ca99bafb2a75d4fadb8d64efed26316f.jpg
Watchmen,Four,58.05,http://books.toscrape.com/media/cache/0b/43/0b43137f35134bf211608d1e7197b086.jpg
Unlimited Intuition Now,Four,58.87,http://books.toscrape.com/media/cache/61/46/6146f9ffb87a4f82301d033aa74cc48b.jpg
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",One,55.91,http://books.toscrape.com/media/cache/5e/7f/5e7f7d9913d4c95d33904770c518d537.jpg
The Art and Science of Low Carbohydrate Living,Five,52.98,http://books.toscrape.com/media/cache/4b/d4/4bd43108fb070ad8ebba9cdb00b14069.jpg
The Alien Club,One,54.40,http://books.toscrape.com/media/cache/93/d0/93d01bc6bce58e8efbf560e9e3dc3379.jpg
Suzie Snowflake: One beautiful flake (a self-esteem story),Five,54.81,http://books.toscrape.com/media/cache/db/cc/dbcc9d63b73ce9058d53f36465dbe2b2.jpg
Proofs of God: Classical Arguments from Tertullian to Barth,One,54.21,http://books.toscrape.com/media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg
A Shard of Ice (The Black Symphony Saga #1),Three,56.63,http://books.toscrape.com/media/cache/27/64/27649cb5da52970f4bb2fc5234a48578.jpg
Out of Print: City Lights Spotlight No. 14,Five,53.64,http://books.toscrape.com/media/cache/93/d5/93d5c64abfad9ed6a0cb2e26f19f1a1e.jpg
Miller's Valley,Two,58.54,http://books.toscrape.com/media/cache/dc/1a/dc1a54201eff16a11e7d84eef5ea36c7.jpg
I'll Give You the Sun,One,56.48,http://books.toscrape.com/media/cache/af/93/af933f86038dc55487b5bf1d81ff4bfb.jpg
A Hero's Curse (The Unseen Chronicles #1),Three,50.49,http://books.toscrape.com/media/cache/95/68/95685fabe00befa6dc91277cde703b55.jpg
The High Mountains of Portugal,One,51.15,http://books.toscrape.com/media/cache/55/00/550091fc134bbe67f562d95a6d6313f7.jpg
Silence in the Dark (Logan Point #4),Three,58.33,http://books.toscrape.com/media/cache/bb/1c/bb1c91883579f1f99fe6ebf13b92c1c1.jpg
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Two,52.86,http://books.toscrape.com/media/cache/58/6a/586afa8809f59bff51b89b2bc4a16129.jpg
Future Shock (Future Shock #1),Five,55.65,http://books.toscrape.com/media/cache/89/10/8910c36eec96636288a9cfb61610c9fa.jpg
Between the World and Me,Four,56.91,http://books.toscrape.com/media/cache/73/45/7345c412c4c821f131d3c159e027c3a0.jpg
Being Mortal: Medicine and What Matters in the End,Four,55.06,http://books.toscrape.com/media/cache/c7/7f/c77fdad22e40b8b923ec6c5b1f5a740f.jpg
32 Yolks,Two,53.63,http://books.toscrape.com/media/cache/1d/1f/1d1fbd89f0290275b9166877663ee9f5.jpg
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,52.30,http://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Three,52.87,http://books.toscrape.com/media/cache/4f/1e/4f1ece2500f8dbacecca42d57befca03.jpg
"Rich Dad, Poor Dad",One,51.74,http://books.toscrape.com/media/cache/18/f4/18f45d31e3892fee589e23f15d759ee3.jpg
A Short History of Nearly Everything,Five,52.40,http://books.toscrape.com/media/cache/3c/f6/3cf646523ff7fb8647c500d6325cfcaf.jpg
The Sound Of Love,Five,57.84,http://books.toscrape.com/media/cache/4e/3a/4e3a151bbe2629a55df09fd318fdeb0a.jpg
The Perks of Being a Wallflower,Three,55.02,http://books.toscrape.com/media/cache/ca/5b/ca5b33c09daab4667ed37b330de889bd.jpg
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Four,59.45,http://books.toscrape.com/media/cache/92/fe/92fe1c1823653412fe68be2c525dfc3a.jpg
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Four,53.68,http://books.toscrape.com/media/cache/59/bc/59bcc421ae9f5a6f12ef11e849fb745d.jpg
The Raven Boys (The Raven Cycle #1),Four,57.74,http://books.toscrape.com/media/cache/3c/a4/3ca4889e4bb7f9a1cc1d7a1c920e9d42.jpg
The Hiding Place,Four,55.91,http://books.toscrape.com/media/cache/cf/18/cf187c1dc5575fcbbf49c58024146c4b.jpg
The False Prince (The Ascendance Trilogy #1),Five,56.00,http://books.toscrape.com/media/cache/f8/e3/f8e371e2869d13b9d89999f8d5173245.jpg
The Barefoot Contessa Cookbook,Five,59.92,http://books.toscrape.com/media/cache/dd/07/dd07bd0c443756b9dc260813c1949b4f.jpg
Tell the Wolves I'm Home,Two,50.96,http://books.toscrape.com/media/cache/f9/72/f972e744117c9d4b5fefb3410c0e9f7c.jpg
Fun Home: A Family Tragicomic,Four,56.59,http://books.toscrape.com/media/cache/54/ae/54ae8233e8422676c241d1cea0b67f1d.jpg
Catherine the Great: Portrait of a Woman,Four,58.55,http://books.toscrape.com/media/cache/72/f1/72f13b8f069d3a018d2c378be5a1de20.jpg
A Year in Provence (Provence #1),Four,56.88,http://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg
Nightstruck: A Novel,Four,50.35,http://books.toscrape.com/media/cache/c0/df/c0dfd5388bb38b9c24da2e94534e1198.jpg
Leave This Song Behind: Teen Poetry at Its Best,Five,51.17,http://books.toscrape.com/media/cache/31/c7/31c7c5ce7b04d227aa36ecb250b9dad5.jpg
John Adams,Four,57.43,http://books.toscrape.com/media/cache/59/b4/59b4f94b4dc4c7cb844a6f24a5e2a41e.jpg
"Chronicles, Vol. 1",Two,52.60,http://books.toscrape.com/media/cache/11/fc/11fc94453c4dc0d68543971d7843afb0.jpg
Digital Fortress,Five,58.00,http://books.toscrape.com/media/cache/5c/77/5c770b251d27aeef263f8ae974ca02e0.jpg
"Death Note, Vol. 5: Whiteout (Death Note #5)",One,52.41,http://books.toscrape.com/media/cache/4e/c1/4ec161cc09ee437c9eda6d437d232a11.jpg
Approval Junkie: Adventures in Caring Too Much,Five,58.81,http://books.toscrape.com/media/cache/17/aa/17aacb738eace89a635a4eb47a94c11d.jpg
America's War for the Greater Middle East: A Military History,Two,51.22,http://books.toscrape.com/media/cache/eb/17/eb178eceef1e9290591cabd5155571a3.jpg
Last One Home (New Beginnings #1),Three,59.98,http://books.toscrape.com/media/cache/e4/0a/e40a336622fe578699be5a1eeba18f9d.jpg
Alight (The Generations Trilogy #2),Four,58.59,http://books.toscrape.com/media/cache/5e/f3/5ef34ba3e937218db15178a1a5ce195f.jpg
Vogue Colors A to Z: A Fashion Coloring Book,Four,52.35,http://books.toscrape.com/media/cache/1f/55/1f5541682b39b390a3db41430922d510.jpg
The Pilgrim's Progress,Two,50.26,http://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg
The Perfect Play (Play by Play #1),Three,59.99,http://books.toscrape.com/media/cache/40/16/4016ffba678f309171d8130135f6eb8e.jpg
The Demonists (Demonist #1),Two,52.11,http://books.toscrape.com/media/cache/1a/d2/1ad2a260776198051f4d1849be347cc6.jpg
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Three,59.71,http://books.toscrape.com/media/cache/ee/d4/eed4d5d63d13f0aa86575c90f8ccacb7.jpg
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Four,50.44,http://books.toscrape.com/media/cache/38/79/38794d8729a111018260d931e7101de2.jpg
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Three,50.66,http://books.toscrape.com/media/cache/ab/ac/abac4222af5cc296b704a0e5df82e162.jpg
"Unstuffed: Decluttering Your Home, Mind, and Soul",One,58.09,http://books.toscrape.com/media/cache/14/07/1407c2d6318956b10abd970c2e83154d.jpg
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",One,53.51,http://books.toscrape.com/media/cache/77/bc/77bcc3cde72998ee488ac169f7e4e540.jpg
The Wild Robot,Three,56.07,http://books.toscrape.com/media/cache/bf/db/bfdbf9726621276fc7821d705690dbae.jpg
The Stand,Two,57.86,http://books.toscrape.com/media/cache/3a/7c/3a7c2393061031e7911d7b533b723391.jpg
Candide,Three,58.63,http://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg
Animal Farm,Three,57.22,http://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg
A Walk to Remember,One,56.43,http://books.toscrape.com/media/cache/fa/1b/fa1b0fac146201645c740b02802e2211.jpg
A New Earth: Awakening to Your Life's Purpose,Five,55.65,http://books.toscrape.com/media/cache/83/c8/83c834b3779be4e577c37ead6d2acf65.jpg
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Five,55.55,http://books.toscrape.com/media/cache/bb/18/bb1845c22faea465cad3d556d22936a2.jpg
The Rose & the Dagger (The Wrath and the Dawn #2),Four,58.64,http://books.toscrape.com/media/cache/57/9c/579cd2ca789c8a796a1864d08ee8d686.jpg
The Nanny Diaries (Nanny #1),Five,52.53,http://books.toscrape.com/media/cache/63/5f/635fb981e464f7427787824b20a15e71.jpg
The Lover's Dictionary,Two,58.09,http://books.toscrape.com/media/cache/47/e7/47e7563b0731a2b8131233f70d211f7a.jpg
The Last Painting of Sara de Vos,Two,55.55,http://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg
The Husband's Secret,Five,52.51,http://books.toscrape.com/media/cache/f0/5b/f05be79a4b319e24819c318e35e6963c.jpg
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),One,57.48,http://books.toscrape.com/media/cache/2a/a2/2aa2d8c4a8bfc1972c806ca16718e5c5.jpg
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Five,57.35,http://books.toscrape.com/media/cache/f9/69/f969969428b505970a46272fdcea00d3.jpg
The Demon-Haunted World: Science as a Candle in the Dark,Four,52.25,http://books.toscrape.com/media/cache/4a/35/4a352dc298e4bbe6ba5f81bbc0d41ca0.jpg
The Book Thief,Two,53.49,http://books.toscrape.com/media/cache/ff/a0/ffa08bf29ae0a5c9e91564dba71cde90.jpg
The Blind Side: Evolution of a Game,Five,53.71,http://books.toscrape.com/media/cache/5e/ee/5eeecab909b9e87ddfb6e3d31078fbbf.jpg
Something Blue (Darcy & Rachel #2),One,54.62,http://books.toscrape.com/media/cache/72/f5/72f5ed312bc82afa386c9cd48d4e36dd.jpg
Seven Days in the Art World,Two,52.33,http://books.toscrape.com/media/cache/35/2c/352c1a7e155c5d03d073bf8ce1564caa.jpg
Rogue Lawyer (Rogue Lawyer #1),Three,50.11,http://books.toscrape.com/media/cache/92/e4/92e4e180ba8fbde3b8ac0c1e71cfc5f4.jpg
Packing for Mars: The Curious Science of Life in the Void,Two,56.68,http://books.toscrape.com/media/cache/8d/72/8d7216b05e1b5edf9bdb0d2db295ca33.jpg
Into the Wild,Five,56.70,http://books.toscrape.com/media/cache/e2/ca/e2ca3b870db8071034edea19b1da3de2.jpg
House of Leaves,One,54.89,http://books.toscrape.com/media/cache/14/25/142563ccee483bc07632f9c083a68326.jpg
Holidays on Ice,Two,51.07,http://books.toscrape.com/media/cache/4b/9a/4b9a2a6d4c995e12fe216f6173a582be.jpg
"Friday Night Lights: A Town, a Team, and a Dream",Three,51.22,http://books.toscrape.com/media/cache/7d/cf/7dcf6c3b419bf7e7e3b3b8162b177869.jpg
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",One,57.83,http://books.toscrape.com/media/cache/7c/8e/7c8ea0cef3825cc6ddae55267c55a59e.jpg
Dune (Dune #1),One,54.86,http://books.toscrape.com/media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg
Dracula,Three,52.62,http://books.toscrape.com/media/cache/ef/d7/efd7c316b4d60a403ba6d111fdeb2d41.jpg
Do Androids Dream of Electric Sheep? (Blade Runner #1),One,51.48,http://books.toscrape.com/media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg
Darkfever (Fever #1),One,56.02,http://books.toscrape.com/media/cache/af/08/af08d08c90b4df63ca5a2819a754da18.jpg
Midnight Riot (Peter Grant/ Rivers of London - books #1),Two,55.46,http://books.toscrape.com/media/cache/e6/57/e6574a313ad7e6adf97a1d71318f9a7f.jpg
Me Talk Pretty One Day,Two,57.60,http://books.toscrape.com/media/cache/98/9f/989fe700e9e6bdec4fc3217daa5b7df3.jpg
Life Without a Recipe,Five,59.04,http://books.toscrape.com/media/cache/80/b3/80b3e38be4204b3b64cdbe8c80dcf1f9.jpg
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Five,55.50,http://books.toscrape.com/media/cache/a1/03/a10370da29e4ba78c7a75a14041eae0e.jpg
Lady Renegades (Rebel Belle #3),Five,53.04,http://books.toscrape.com/media/cache/d2/c2/d2c259e13fe3097325549a14f996b462.jpg
Civilization and Its Discontents,Two,59.95,http://books.toscrape.com/media/cache/4d/a6/4da6939a6bbd895a5acdeabad46d1f9f.jpg
Brave Enough,Five,51.32,http://books.toscrape.com/media/cache/94/c7/94c7add56827e01998189a021ec060e2.jpg
Are We Smart Enough to Know How Smart Animals Are?,One,56.58,http://books.toscrape.com/media/cache/71/d1/71d199b2abd878b9943dc818b77a1e72.jpg
A Heartbreaking Work of Staggering Genius,Five,54.29,http://books.toscrape.com/media/cache/7a/58/7a587c5814f33c0c54e8bfa0ef66d690.jpg
#GIRLBOSS,One,50.96,http://books.toscrape.com/media/cache/70/9a/709a7625e50abf3fc3f26c0396a62131.jpg
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",One,54.81,http://books.toscrape.com/media/cache/e3/ae/e3ae48fe07d77611b49b5b78d99418ae.jpg
H is for Hawk,Five,57.42,http://books.toscrape.com/media/cache/78/3c/783c89d21306b712d832dbac267b786a.jpg
Girl Online On Tour (Girl Online #2),One,53.47,http://books.toscrape.com/media/cache/e0/22/e0221ab11b1d093a2d03927b4962c544.jpg
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Four,52.88,http://books.toscrape.com/media/cache/47/16/47160ff71abe23cb52968b3d1b9b7988.jpg
When I'm Gone,Three,51.96,http://books.toscrape.com/media/cache/13/a3/13a361d57f2b6021b2ae395a6fedd475.jpg
Vampire Girl (Vampire Girl #1),Two,53.82,http://books.toscrape.com/media/cache/ea/55/ea5547a00ad163902faba6929369bc77.jpg
Travels with Charley: In Search of America,Five,57.82,http://books.toscrape.com/media/cache/ff/60/ff60e98e3da9c76d6f65b26bd7142d94.jpg
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Three,54.12,http://books.toscrape.com/media/cache/56/ea/56eac75378feb4cab0dcb9d2101cf58b.jpg
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Four,57.70,http://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg
The Name of the Wind (The Kingkiller Chronicle #1),Three,50.59,http://books.toscrape.com/media/cache/6a/b3/6ab3616e7495ef64b1546a178cf8a9e7.jpg
The Light of the Fireflies,One,54.43,http://books.toscrape.com/media/cache/17/8e/178e6e1cee8e5980e31148ea10a7321f.jpg
The Bhagavad Gita,Three,57.49,http://books.toscrape.com/media/cache/4e/69/4e69dacc99de838814d0f65c94e67f6c.jpg
Shameless,Three,58.35,http://books.toscrape.com/media/cache/a2/19/a2198abf12e3287f84997b35f4e1050e.jpg
One Second (Seven #7),Two,52.94,http://books.toscrape.com/media/cache/3f/f3/3ff3f7a0f3c949bb7adbe5f7fe80b9ab.jpg
"Eat, Pray, Love",Three,51.32,http://books.toscrape.com/media/cache/21/95/2195c296e82620593a143356aeaa7745.jpg
